"","composer","set","albumID","pieceID","participant","corpus","year","num","key","chroma","mode","timeSignature","mm","assignedTempo","notatedTempo","adjTempo","attacks","arScore","pitchHeight","mmWt","issues","yearSimple","era","opus","title","type","beatDiv","durationSec","perfTempo","rmsSeeWaveFade","rmsSeeWaveNoFade","rmsAudacityFade","rmsAudacityNoFade","performer","primaryPerf","isPrimary","work","yearRecorded","yearReleased","performedOn","performedOnDetailed","recordingCut","backupLoc","notes","pieces.for.cam.to.check","pdcIP","pdcVerify","...19","valence","arousal","label","pool","expLoc","expID","ra","subj","setCode","albumCode","mmWtTotal","mmDuration","arPerf","rms"
"8059","bach","1","bachDemaria2015WTC1","M0","5bf735ba2e42ef00019f6f73","wtc1Preludes","1722",1,"C","0","Major","4/4",1,NA,112,NA,16,7.46666666666667,44.6666666666667,1,NA,1722,"baroque","BWV 846-69","Well-tempered clavier, book 1 (Preludes)","prelude","quarter",27.736,69.22411307,NA,NA,NA,-42.9,"de maria","de maria","TRUE","book 1","2015","2015","piano","piano","y","drive",NA,NA,"CA",NA,"Summer 2020",5,19,"tender/lyrical","prolific","online","109",NA,"2","bach-1","bach-1-de maria",8,3.467,4.61494087107009,-42.9
"8060","bach","1","bachDemaria2015WTC1","M0","5bf735ba2e42ef00019f6f73","wtc1Preludes","1722",1,"C","0","Major","4/4",4,NA,112,NA,16,7.46666666666667,44.6666666666667,1,NA,1722,"baroque","BWV 846-69","Well-tempered clavier, book 1 (Preludes)","prelude","quarter",27.736,69.22411307,NA,NA,NA,-42.9,"de maria","de maria","TRUE","book 1","2015","2015","piano","piano","y","drive",NA,NA,"CA",NA,"Summer 2020",5,19,"tender/lyrical","prolific","online","109",NA,"2","bach-1","bach-1-de maria",8,3.467,4.61494087107009,-42.9
"8061","bach","1","bachDemaria2015WTC1","M0","5bf735ba2e42ef00019f6f73","wtc1Preludes","1722",1,"C","0","Major","4/4",7,NA,112,NA,16,7.46666666666667,44.0952380952381,1,NA,1722,"baroque","BWV 846-69","Well-tempered clavier, book 1 (Preludes)","prelude","quarter",27.736,69.22411307,NA,NA,NA,-42.9,"de maria","de maria","TRUE","book 1","2015","2015","piano","piano","y","drive",NA,NA,"CA",NA,"Summer 2020",5,19,"tender/lyrical","prolific","online","109",NA,"2","bach-1","bach-1-de maria",8,3.467,4.61494087107009,-42.9
"8062","bach","1","bachDemaria2015WTC1","m0","5c7ff40242a6c20017e1ab78","wtc1Preludes","1722",2,"c","0","minor","4/4",8,NA,108,NA,16,7.2,38.5,1,NA,1722,"baroque","BWV 846-69","Well-tempered clavier, book 1 (Preludes)","prelude","quarter",16.045,119.6634466,NA,NA,NA,-25.5,"de maria","de maria","TRUE","book 1","2015","2015","piano","piano","y","drive",NA,NA,"CA",NA,"Summer 2020",5,92,"passionate","prolific","online","109",NA,"3","bach-1","bach-1-de maria",8,2.005625,7.97756310377064,-25.5
"8063","bach","1","bachDemaria2015WTC1","m0","5c7ff40242a6c20017e1ab78","wtc1Preludes","1722",2,"c","0","minor","4/4",4,NA,108,NA,16,7.2,37.5,1,NA,1722,"baroque","BWV 846-69","Well-tempered clavier, book 1 (Preludes)","prelude","quarter",16.045,119.6634466,NA,NA,NA,-25.5,"de maria","de maria","TRUE","book 1","2015","2015","piano","piano","y","drive",NA,NA,"CA",NA,"Summer 2020",5,92,"passionate","prolific","online","109",NA,"3","bach-1","bach-1-de maria",8,2.005625,7.97756310377064,-25.5
"8064","bach","1","bachDemaria2015WTC1","m0","5c7ff40242a6c20017e1ab78","wtc1Preludes","1722",2,"c","0","minor","4/4",3,NA,108,NA,16,7.2,39.625,1,NA,1722,"baroque","BWV 846-69","Well-tempered clavier, book 1 (Preludes)","prelude","quarter",16.045,119.6634466,NA,NA,NA,-25.5,"de maria","de maria","TRUE","book 1","2015","2015","piano","piano","y","drive",NA,NA,"CA",NA,"Summer 2020",5,92,"passionate","prolific","online","109",NA,"3","bach-1","bach-1-de maria",8,2.005625,7.97756310377064,-25.5
"8065","bach","1","bachDemaria2015WTC1","m0","5c7ff40242a6c20017e1ab78","wtc1Preludes","1722",2,"c","0","minor","4/4",6,NA,108,NA,16,7.2,40.5,1,NA,1722,"baroque","BWV 846-69","Well-tempered clavier, book 1 (Preludes)","prelude","quarter",16.045,119.6634466,NA,NA,NA,-25.5,"de maria","de maria","TRUE","book 1","2015","2015","piano","piano","y","drive",NA,NA,"CA",NA,"Summer 2020",5,92,"passionate","prolific","online","109",NA,"3","bach-1","bach-1-de maria",8,2.005625,7.97756310377064,-25.5
"8066","bach","1","bachDemaria2015WTC1","m0","5c7ff40242a6c20017e1ab78","wtc1Preludes","1722",2,"c","0","minor","4/4",7,NA,108,NA,16,7.2,41.4375,1,NA,1722,"baroque","BWV 846-69","Well-tempered clavier, book 1 (Preludes)","prelude","quarter",16.045,119.6634466,NA,NA,NA,-25.5,"de maria","de maria","TRUE","book 1","2015","2015","piano","piano","y","drive",NA,NA,"CA",NA,"Summer 2020",5,92,"passionate","prolific","online","109",NA,"3","bach-1","bach-1-de maria",8,2.005625,7.97756310377064,-25.5
"8067","bach","1","bachDemaria2015WTC1","m0","5c7ff40242a6c20017e1ab78","wtc1Preludes","1722",2,"c","0","minor","4/4",2,NA,108,NA,16,7.2,39.9375,1,NA,1722,"baroque","BWV 846-69","Well-tempered clavier, book 1 (Preludes)","prelude","quarter",16.045,119.6634466,NA,NA,NA,-25.5,"de maria","de maria","TRUE","book 1","2015","2015","piano","piano","y","drive",NA,NA,"CA",NA,"Summer 2020",5,92,"passionate","prolific","online","109",NA,"3","bach-1","bach-1-de maria",8,2.005625,7.97756310377064,-25.5
"8068","bach","1","bachDemaria2015WTC1","m0","5c7ff40242a6c20017e1ab78","wtc1Preludes","1722",2,"c","0","minor","4/4",5,NA,108,NA,16,7.2,42.75,1,NA,1722,"baroque","BWV 846-69","Well-tempered clavier, book 1 (Preludes)","prelude","quarter",16.045,119.6634466,NA,NA,NA,-25.5,"de maria","de maria","TRUE","book 1","2015","2015","piano","piano","y","drive",NA,NA,"CA",NA,"Summer 2020",5,92,"passionate","prolific","online","109",NA,"3","bach-1","bach-1-de maria",8,2.005625,7.97756310377064,-25.5
"8069","bach","1","bachDemaria2015WTC1","m0","5c7ff40242a6c20017e1ab78","wtc1Preludes","1722",2,"c","0","minor","4/4",1,NA,108,NA,16,7.2,38.3125,1,NA,1722,"baroque","BWV 846-69","Well-tempered clavier, book 1 (Preludes)","prelude","quarter",16.045,119.6634466,NA,NA,NA,-25.5,"de maria","de maria","TRUE","book 1","2015","2015","piano","piano","y","drive",NA,NA,"CA",NA,"Summer 2020",5,92,"passionate","prolific","online","109",NA,"3","bach-1","bach-1-de maria",8,2.005625,7.97756310377064,-25.5
"8070","bach","1","bachDemaria2015WTC1","M0","5c7ff40242a6c20017e1ab78","wtc1Preludes","1722",1,"C","0","Major","4/4",7,NA,112,NA,16,7.46666666666667,44.0952380952381,1,NA,1722,"baroque","BWV 846-69","Well-tempered clavier, book 1 (Preludes)","prelude","quarter",27.736,69.22411307,NA,NA,NA,-42.9,"de maria","de maria","TRUE","book 1","2015","2015","piano","piano","y","drive",NA,NA,"CA",NA,"Summer 2020",5,24,"light/effervescent","prolific","online","109",NA,"3","bach-1","bach-1-de maria",8,3.467,4.61494087107009,-42.9
"8071","bach","1","bachDemaria2015WTC1","M0","5c7ff40242a6c20017e1ab78","wtc1Preludes","1722",1,"C","0","Major","4/4",5,NA,112,NA,16,7.46666666666667,45.7142857142857,1,NA,1722,"baroque","BWV 846-69","Well-tempered clavier, book 1 (Preludes)","prelude","quarter",27.736,69.22411307,NA,NA,NA,-42.9,"de maria","de maria","TRUE","book 1","2015","2015","piano","piano","y","drive",NA,NA,"CA",NA,"Summer 2020",5,24,"light/effervescent","prolific","online","109",NA,"3","bach-1","bach-1-de maria",8,3.467,4.61494087107009,-42.9
"8072","bach","1","bachDemaria2015WTC1","M0","5c7ff40242a6c20017e1ab78","wtc1Preludes","1722",1,"C","0","Major","4/4",2,NA,112,NA,16,7.46666666666667,44.4761904761905,1,NA,1722,"baroque","BWV 846-69","Well-tempered clavier, book 1 (Preludes)","prelude","quarter",27.736,69.22411307,NA,NA,NA,-42.9,"de maria","de maria","TRUE","book 1","2015","2015","piano","piano","y","drive",NA,NA,"CA",NA,"Summer 2020",5,24,"light/effervescent","prolific","online","109",NA,"3","bach-1","bach-1-de maria",8,3.467,4.61494087107009,-42.9
"8073","bach","1","bachDemaria2015WTC1","M0","5c7ff40242a6c20017e1ab78","wtc1Preludes","1722",1,"C","0","Major","4/4",3,NA,112,NA,16,7.46666666666667,43.9047619047619,1,NA,1722,"baroque","BWV 846-69","Well-tempered clavier, book 1 (Preludes)","prelude","quarter",27.736,69.22411307,NA,NA,NA,-42.9,"de maria","de maria","TRUE","book 1","2015","2015","piano","piano","y","drive",NA,NA,"CA",NA,"Summer 2020",5,24,"light/effervescent","prolific","online","109",NA,"3","bach-1","bach-1-de maria",8,3.467,4.61494087107009,-42.9
"8074","bach","1","bachDemaria2015WTC1","M0","5c7ff40242a6c20017e1ab78","wtc1Preludes","1722",1,"C","0","Major","4/4",4,NA,112,NA,16,7.46666666666667,44.6666666666667,1,NA,1722,"baroque","BWV 846-69","Well-tempered clavier, book 1 (Preludes)","prelude","quarter",27.736,69.22411307,NA,NA,NA,-42.9,"de maria","de maria","TRUE","book 1","2015","2015","piano","piano","y","drive",NA,NA,"CA",NA,"Summer 2020",5,24,"light/effervescent","prolific","online","109",NA,"3","bach-1","bach-1-de maria",8,3.467,4.61494087107009,-42.9
"8075","bach","1","bachDemaria2015WTC1","M0","5c7ff40242a6c20017e1ab78","wtc1Preludes","1722",1,"C","0","Major","4/4",8,NA,112,NA,16,7.46666666666667,41.8095238095238,1,NA,1722,"baroque","BWV 846-69","Well-tempered clavier, book 1 (Preludes)","prelude","quarter",27.736,69.22411307,NA,NA,NA,-42.9,"de maria","de maria","TRUE","book 1","2015","2015","piano","piano","y","drive",NA,NA,"CA",NA,"Summer 2020",5,24,"light/effervescent","prolific","online","109",NA,"3","bach-1","bach-1-de maria",8,3.467,4.61494087107009,-42.9
